run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
Obstacles-0-20220917-13:13:45-6292,vector,CanvasWorld.node[0].middleware.CAM,transmission:vector(camGenerationDeltaTime),,,,"0.271518936497 0.471518936497 0.671518936497 0.871518936497 1.771518936497 2.571518936497 3.371518936497 4.171518936497 4.971518936497 5.771518936497 6.571518936497 7.371518936497 8.171518936497 8.971518936497 9.771518936497 10.371518936497 10.771518936497 10.971518936497 11.171518936497 11.371518936497 11.471518936497 11.571518936497 11.671518936497 11.771518936497 11.871518936497 11.971518936497 12.071518936497 12.171518936497 12.271518936497 12.371518936497 12.471518936497 12.571518936497 12.671518936497 12.771518936497 13.171518936497 13.571518936497 13.971518936497 14.371518936497 14.871518936497 15.371518936497 15.871518936497 16.371518936497 16.771518936497 17.171518936497 17.571518936497 17.971518936497 18.371518936497 18.771518936497 19.171518936497 19.571518936497 19.971518936497 20.371518936497 20.771518936497 21.171518936497 21.571518936497 21.971518936497 22.371518936497 22.771518936497 23.171518936497 23.571518936497 23.971518936497 24.371518936497 24.771518936497 25.171518936497 25.571518936497 25.971518936497 26.371518936497 26.771518936497 27.171518936497 27.571518936497 27.971518936497 28.371518936497 28.771518936497 29.171518936497 29.571518936497 29.871518936497 30.071518936497 30.271518936497 30.471518936497 30.671518936497 30.871518936497 31.071518936497 31.271518936497 31.471518936497 31.571518936497 31.671518936497 31.771518936497 31.871518936497 31.971518936497 32.071518936497 32.171518936497 32.271518936497 32.371518936497 32.471518936497 32.571518936497 32.671518936497 32.771518936497 33.371518936497 33.971518936497 34.571518936497 35.171518936497 35.771518936497 36.371518936497 36.971518936497 37.571518936497 38.171518936497 38.771518936497 39.371518936497 39.971518936497 40.571518936497 41.171518936497 41.771518936497 42.371518936497 42.971518936497 43.571518936497 44.171518936497 44.771518936497 45.371518936497 45.971518936497 46.571518936497 47.171518936497 47.771518936497 48.371518936497 48.971518936497 49.571518936497 50.171518936497 50.771518936497 51.371518936497 51.971518936497 52.571518936497 53.171518936497 53.771518936497 54.371518936497 54.971518936497 55.571518936497","29256 29456 29656 29856 30756 31556 32356 33156 33956 34756 35556 36356 37156 37956 38756 39356 39756 39956 40156 40356 40456 40556 40656 40756 40856 40956 41056 41156 41256 41356 41456 41556 41656 41756 42156 42556 42956 43356 43856 44356 44856 45356 45756 46156 46556 46956 47356 47756 48156 48556 48956 49356 49756 50156 50556 50956 51356 51756 52156 52556 52956 53356 53756 54156 54556 54956 55356 55756 56156 56556 56956 57356 57756 58156 58556 58856 59056 59256 59456 59656 59856 60056 60256 60456 60556 60656 60756 60856 60956 61056 61156 61256 61356 61456 61556 61656 61756 62356 62956 63556 64156 64756 65356 420 1020 1620 2220 2820 3420 4020 4620 5220 5820 6420 7020 7620 8220 8820 9420 10020 10620 11220 11820 12420 13020 13620 14220 14820 15420 16020 16620 17220 17820 18420 19020"
Obstacles-0-20220917-13:13:45-6292,attr,CanvasWorld.node[0].middleware.CAM,transmission:vector(camGenerationDeltaTime),source,CamSent,,,
Obstacles-0-20220917-13:13:45-6292,vector,CanvasWorld.node[0].middleware.CAM,transmission:vector(camSpeed),,,,"0.271518936497 0.471518936497 0.671518936497 0.871518936497 1.771518936497 2.571518936497 3.371518936497 4.171518936497 4.971518936497 5.771518936497 6.571518936497 7.371518936497 8.171518936497 8.971518936497 9.771518936497 10.371518936497 10.771518936497 10.971518936497 11.171518936497 11.371518936497 11.471518936497 11.571518936497 11.671518936497 11.771518936497 11.871518936497 11.971518936497 12.071518936497 12.171518936497 12.271518936497 12.371518936497 12.471518936497 12.571518936497 12.671518936497 12.771518936497 13.171518936497 13.571518936497 13.971518936497 14.371518936497 14.871518936497 15.371518936497 15.871518936497 16.371518936497 16.771518936497 17.171518936497 17.571518936497 17.971518936497 18.371518936497 18.771518936497 19.171518936497 19.571518936497 19.971518936497 20.371518936497 20.771518936497 21.171518936497 21.571518936497 21.971518936497 22.371518936497 22.771518936497 23.171518936497 23.571518936497 23.971518936497 24.371518936497 24.771518936497 25.171518936497 25.571518936497 25.971518936497 26.371518936497 26.771518936497 27.171518936497 27.571518936497 27.971518936497 28.371518936497 28.771518936497 29.171518936497 29.571518936497 29.871518936497 30.071518936497 30.271518936497 30.471518936497 30.671518936497 30.871518936497 31.071518936497 31.271518936497 31.471518936497 31.571518936497 31.671518936497 31.771518936497 31.871518936497 31.971518936497 32.071518936497 32.171518936497 32.271518936497 32.371518936497 32.471518936497 32.571518936497 32.671518936497 32.771518936497 33.371518936497 33.971518936497 34.571518936497 35.171518936497 35.771518936497 36.371518936497 36.971518936497 37.571518936497 38.171518936497 38.771518936497 39.371518936497 39.971518936497 40.571518936497 41.171518936497 41.771518936497 42.371518936497 42.971518936497 43.571518936497 44.171518936497 44.771518936497 45.371518936497 45.971518936497 46.571518936497 47.171518936497 47.771518936497 48.371518936497 48.971518936497 49.571518936497 50.171518936497 50.771518936497 51.371518936497 51.971518936497 52.571518936497 53.171518936497 53.771518936497 54.371518936497 54.971518936497 55.571518936497","8 23 37 52 108 159 210 257 303 355 398 447 492 538 586 622 654 667 682 697 702 707 712 718 726 732 738 743 747 754 760 767 775 782 806 832 857 884 913 941 971 998 1019 1041 1065 1088 1113 1137 1164 1190 1197 1198 1198 1198 1198 1198 1200 1199 1196 1198 1200 1199 1196 1198 1198 1198 1197 1199 1199 1199 1199 1196 1198 1197 1197 1119 1029 940 850 760 670 669 666 670 668 667 666 669 669 667 668 674 680 687 692 699 706 741 779 800 796 798 800 799 800 799 796 798 799 798 797 798 797 799 797 799 799 796 797 798 797 796 797 798 800 799 799 799 796 799 798 800 796 800 800"
Obstacles-0-20220917-13:13:45-6292,attr,CanvasWorld.node[0].middleware.CAM,transmission:vector(camSpeed),source,CamSent,,,
Obstacles-0-20220917-13:13:45-6292,vector,CanvasWorld.node[1].middleware.CAM,transmission:vector(camStationId),,,,"10.279172503343 10.479172503343 10.679172503343 10.879172503343 11.779172503343 12.679172503343 13.579172503343 14.479172503343 15.379172503343 16.279172503343 17.179172503343 18.079172503343 18.979172503343 19.779172503343 20.379172503343 20.879172503343 21.079172503343 21.279172503343 21.479172503343 21.579172503343 21.679172503343 21.779172503343 21.879172503343 21.979172503343 22.079172503343 22.179172503343 22.279172503343 22.379172503343 22.479172503343 22.579172503343 22.679172503343 22.779172503343 22.879172503343 23.279172503343 23.679172503343 24.079172503343 24.479172503343 24.979172503343 25.479172503343 25.979172503343 26.479172503343 26.979172503343 27.379172503343 27.779172503343 28.179172503343 28.579172503343 28.979172503343 29.379172503343 29.779172503343 30.179172503343 30.579172503343 30.979172503343 31.379172503343 31.779172503343 32.079172503343 32.179172503343 32.279172503343 32.379172503343 32.479172503343 32.579172503343 32.679172503343 33.279172503343 33.879172503343 34.479172503343 35.079172503343 35.679172503343 36.279172503343 36.879172503343 37.479172503343 38.079172503343 38.679172503343 39.279172503343 39.879172503343 40.479172503343 41.079172503343 41.679172503343 42.279172503343 42.879172503343 43.479172503343 44.079172503343 44.679172503343 45.079172503343 45.279172503343 45.479172503343 45.679172503343 45.879172503343 46.079172503343 46.179172503343 46.279172503343 46.379172503343 46.479172503343 46.579172503343 46.679172503343 46.779172503343 46.879172503343 46.979172503343 47.079172503343 47.179172503343 47.279172503343 47.379172503343 47.479172503343 48.179172503343 48.779172503343 49.379172503343 49.979172503343 50.579172503343 51.179172503343 51.779172503343 52.379172503343 52.979172503343 53.579172503343 54.179172503343 54.779172503343 55.379172503343 55.979172503343 56.579172503343 57.179172503343 57.779172503343 58.379172503343 58.979172503343 59.579172503343 60.179172503343 60.779172503343 61.379172503343 61.979172503343 62.579172503343 63.179172503343 63.779172503343 64.379172503343 64.979172503343 65.579172503343 66.179172503343 66.779172503343 67.379172503343 67.979172503343 68.579172503343 69.179172503343 69.779172503343 70.379172503343","2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033 2051556033"
Obstacles-0-20220917-13:13:45-6292,attr,CanvasWorld.node[1].middleware.CAM,transmission:vector(camStationId),source,CamSent,,,
Obstacles-0-20220917-13:13:45-6292,vector,CanvasWorld.node[1].middleware.CAM,transmission:vector(camGenerationDeltaTime),,,,"10.279172503343 10.479172503343 10.679172503343 10.879172503343 11.779172503343 12.679172503343 13.579172503343 14.479172503343 15.379172503343 16.279172503343 17.179172503343 18.079172503343 18.979172503343 19.779172503343 20.379172503343 20.879172503343 21.079172503343 21.279172503343 21.479172503343 21.579172503343 21.679172503343 21.779172503343 21.879172503343 21.979172503343 22.079172503343 22.179172503343 22.279172503343 22.379172503343 22.479172503343 22.579172503343 22.679172503343 22.779172503343 22.879172503343 23.279172503343 23.679172503343 24.079172503343 24.479172503343 24.979172503343 25.479172503343 25.979172503343 26.479172503343 26.979172503343 27.379172503343 27.779172503343 28.179172503343 28.579172503343 28.979172503343 29.379172503343 29.779172503343 30.179172503343 30.579172503343 30.979172503343 31.379172503343 31.779172503343 32.079172503343 32.179172503343 32.279172503343 32.379172503343 32.479172503343 32.579172503343 32.679172503343 33.279172503343 33.879172503343 34.479172503343 35.079172503343 35.679172503343 36.279172503343 36.879172503343 37.479172503343 38.079172503343 38.679172503343 39.279172503343 39.879172503343 40.479172503343 41.079172503343 41.679172503343 42.279172503343 42.879172503343 43.479172503343 44.079172503343 44.679172503343 45.079172503343 45.279172503343 45.479172503343 45.679172503343 45.879172503343 46.079172503343 46.179172503343 46.279172503343 46.379172503343 46.479172503343 46.579172503343 46.679172503343 46.779172503343 46.879172503343 46.979172503343 47.079172503343 47.179172503343 47.279172503343 47.379172503343 47.479172503343 48.179172503343 48.779172503343 49.379172503343 49.979172503343 50.579172503343 51.179172503343 51.779172503343 52.379172503343 52.979172503343 53.579172503343 54.179172503343 54.779172503343 55.379172503343 55.979172503343 56.579172503343 57.179172503343 57.779172503343 58.379172503343 58.979172503343 59.579172503343 60.179172503343 60.779172503343 61.379172503343 61.979172503343 62.579172503343 63.179172503343 63.779172503343 64.379172503343 64.979172503343 65.579172503343 66.179172503343 66.779172503343 67.379172503343 67.979172503343 68.579172503343 69.179172503343 69.779172503343 70.379172503343","39256 39456 39656 39856 40756 41656 42556 43456 44356 45256 46156 47056 47956 48756 49356 49856 50056 50256 50456 50556 50656 50756 50856 50956 51056 51156 51256 51356 51456 51556 51656 51756 51856 52256 52656 53056 53456 53956 54456 54956 55456 55956 56356 56756 57156 57556 57956 58356 58756 59156 59556 59956 60356 60756 61056 61156 61256 61356 61456 61556 61656 62256 62856 63456 64056 64656 65256 320 920 1520 2120 2720 3320 3920 4520 5120 5720 6320 6920 7520 8120 8520 8720 8920 9120 9320 9520 9620 9720 9820 9920 10020 10120 10220 10320 10420 10520 10620 10720 10820 10920 11620 12220 12820 13420 14020 14620 15220 15820 16420 17020 17620 18220 18820 19420 20020 20620 21220 21820 22420 23020 23620 24220 24820 25420 26020 26620 27220 27820 28420 29020 29620 30220 30820 31420 32020 32620 33220 33820"
Obstacles-0-20220917-13:13:45-6292,attr,CanvasWorld.node[1].middleware.CAM,transmission:vector(camGenerationDeltaTime),source,CamSent,,,
Obstacles-0-20220917-13:13:45-6292,vector,CanvasWorld.node[1].middleware.CAM,transmission:vector(camSpeed),,,,"10.279172503343 10.479172503343 10.679172503343 10.879172503343 11.779172503343 12.679172503343 13.579172503343 14.479172503343 15.379172503343 16.279172503343 17.179172503343 18.079172503343 18.979172503343 19.779172503343 20.379172503343 20.879172503343 21.079172503343 21.279172503343 21.479172503343 21.579172503343 21.679172503343 21.779172503343 21.879172503343 21.979172503343 22.079172503343 22.179172503343 22.279172503343 22.379172503343 22.479172503343 22.579172503343 22.679172503343 22.779172503343 22.879172503343 23.279172503343 23.679172503343 24.079172503343 24.479172503343 24.979172503343 25.479172503343 25.979172503343 26.479172503343 26.979172503343 27.379172503343 27.779172503343 28.179172503343 28.579172503343 28.979172503343 29.379172503343 29.779172503343 30.179172503343 30.579172503343 30.979172503343 31.379172503343 31.779172503343 32.079172503343 32.179172503343 32.279172503343 32.379172503343 32.479172503343 32.579172503343 32.679172503343 33.279172503343 33.879172503343 34.479172503343 35.079172503343 35.679172503343 36.279172503343 36.879172503343 37.479172503343 38.079172503343 38.679172503343 39.279172503343 39.879172503343 40.479172503343 41.079172503343 41.679172503343 42.279172503343 42.879172503343 43.479172503343 44.079172503343 44.679172503343 45.079172503343 45.279172503343 45.479172503343 45.679172503343 45.879172503343 46.079172503343 46.179172503343 46.279172503343 46.379172503343 46.479172503343 46.579172503343 46.679172503343 46.779172503343 46.879172503343 46.979172503343 47.079172503343 47.179172503343 47.279172503343 47.379172503343 47.479172503343 48.179172503343 48.779172503343 49.379172503343 49.979172503343 50.579172503343 51.179172503343 51.779172503343 52.379172503343 52.979172503343 53.579172503343 54.179172503343 54.779172503343 55.379172503343 55.979172503343 56.579172503343 57.179172503343 57.779172503343 58.379172503343 58.979172503343 59.579172503343 60.179172503343 60.779172503343 61.379172503343 61.979172503343 62.579172503343 63.179172503343 63.779172503343 64.379172503343 64.979172503343 65.579172503343 66.179172503343 66.779172503343 67.379172503343 67.979172503343 68.579172503343 69.179172503343 69.779172503343 70.379172503343","8 23 39 54 109 160 212 267 319 368 422 476 527 577 617 657 670 682 696 704 710 715 722 727 734 742 742 744 744 742 742 746 751 776 799 819 846 875 906 939 972 999 1027 1047 1068 1094 1115 1141 1168 1190 1200 1196 1199 1199 1107 1017 927 837 799 799 797 797 797 796 797 798 797 796 797 796 796 799 798 799 796 796 796 800 796 796 796 717 633 591 590 589 593 590 593 592 592 590 590 593 599 607 612 619 625 630 634 679 713 750 787 797 797 798 799 799 797 797 796 799 797 796 797 799 797 797 797 797 799 798 797 800 798 800 797 797 797 799 798 797 796 799 797 798 799"
Obstacles-0-20220917-13:13:45-6292,attr,CanvasWorld.node[1].middleware.CAM,transmission:vector(camSpeed),source,CamSent,,,
